Hawkes,Bohnen,Joseph,Morley,Boesveldt,Casjens ,Lo,Mahlknecht
1,7,3,33,15,4,15,7
29,13,28,32,3,10,7,15
8,25,10,22,7,15,5,4
36,8,29,37,10,16,12,3
7,10,20,27,4,7,16,5
2,33,36,2,5,14,10,13
27,20,7,5,11,5,4,14
10,21,4,7,13,12,2,10
32,22,38,13,14,2,6,16
15,32,8,35,2,8,13,2
39,31,21,36,12,6,14,9
31,40,26,16,1,13,3,11
4,3,15,,16,1,1,
24,26,14,,6,11,8,
18,30,1,,9,3,9,
20,37,5,,8,9,11,
13,4,16,,,,,
14,16,30,,,,,
35,1,34,,,,,
3,12,18,,,,,
28,5,11,,,,,
26,6,37,,,,,
34,39,9,,,,,
25,18,6,,,,,
16,35,13,,,,,
30,2,23,,,,,
17,34,12,,,,,
6,15,39,,,,,
5,24,31,,,,,
19,28,33,,,,,
37,38,2,,,,,
21,27,19,,,,,
40,19,25,,,,,
23,29,17,,,,,
38,9,24,,,,,
9,17,40,,,,,
33,11,27,,,,,
22,14,32,,,,,
12,23,35,,,,,
11,36,22,,,,,
